Bourail - Collège Sacré-Coeur (DDE
�le des Pins - Coll�ge Saint-Joseph (DDEC)
Kaala Gomen - Collège Baganda (EPKNC
La Foa - Collège Saint-Dominique Savio (DDEC
Lifou - Collège de Hnaizianu (EPKNC
Lifou - Collège de Hnathalo (DDEC
Lifou- Collège de Havila (EPKNC
Maré - Collège Taremen (EPKN
Mont-Dore - Collège de La Conception (DDEC
Nouméa - Collège Champagnat (DDE
Nouméa - Collège St Joseph de Cluny (DDE
Ouvéa - Collège Eben-Eza (EPKN
Ouvéa - Collège Guillaume Douarre (DDE
Païta - Collège Sainte-Marie et SEGPA (DDE
Poindimié - Collège Jean-Baptiste Vigouroux (DDE
Ponerihouen - Collège de Mou (FELP
Ponerihouen - Collège Yves-Marie Hily (DDEC
Pouebo - Collège Hippolyte Bonou et SEGPA (DDEC
Poum- Collège Raymond Boaouva Kaleba (EPKNC
Thio - Collège Francis Rougé (DDE
Voh - Collège de Tiéta (FEL
