Commune_nord
†Poya†(partie nord)
Pouembout
Kon√
Voh
Kaala-Gomen
Koumac
Poum
Œles Belep
Ou√©go
Pou√©b
Hiengh√®n
Touho
Poindimi√
Pon√©rihoue
Houa√Ølo
Kouaoua
Canala
